"Source Name","BLAKE3 Hash Digest","SIMD Tier","Threads Used","Execution Time (s)","Throughput (MB/s)","File Size (bytes)","Data Source"
"$AttrDef-slack","80b25f8b27755c340c912b38a9810f886bb991b66f42f939e82cd2ece3cfe3b0",AVX-512,12,0.00029,5.053,1536,2011-10-19-Sample.E01
"$AttrDef","1265794e3bbc14afba8d0f3bbcc06cf55026a32cf54292a9f1d003f217b42328",AVX-512,12,0.000635,3.842,2560,2011-10-19-Sample.E01
"$BadClus:$Bad-slack","af1349b9f5f9a1a6a0404dea36dcc9499bcb25c9adc112b7cc9a93cae41f3262",AVX-512,12,0.000254,0.0,0,2011-10-19-Sample.E01
"$Bitmap","8cbe8c77958e42624fb3be491f3da357a6111bf90ce882e08d510a31b010949d",AVX-512,12,0.000387,11.822,4800,2011-10-19-Sample.E01
"$Bitmap-slack","1678d379628ba0c4f491b8a4cbe5f769070c2d6a04518fa196f65c6fee776174",AVX-512,12,0.000462,7.006,3392,2011-10-19-Sample.E01
"$Boot","d43ed4b69956282b43ccaf3712de1cef223c08b7a8ca3be46c7f112ffe071fc8",AVX-512,12,0.000542,14.414,8192,2011-10-19-Sample.E01
"$Repair:$Config","88ada2950bdc9ee2d8c8ccb2de23ff4123479861015241301292c84c981e5daf",AVX-512,12,0.000314,0.024,8,2011-10-19-Sample.E01
"$Tops","2989b75086395e9495e0c8e715f12bd28e17ac5830d121f49a793c622f09d28d",AVX-512,12,0.000292,0.326,100,2011-10-19-Sample.E01
"$TxfLog.blf","0269814a685d9f2e5aad578af5408f110619efdfd7f72d672e794eec54bedc33",AVX-512,12,0.000644,97.035,65536,2011-10-19-Sample.E01
"$Tops:$T","488de202f73bd976de4e7048f4e1f39a776d86d582b7348ff53bf432b987fca8",AVX-512,12,0.001197,835.073,1048576,2011-10-19-Sample.E01
"$TxfLogContainer00000000000000000002","04e52cd2da6a0e1f338b0078369130d96585c1de65057da5dd1283b12fb853e1",AVX-512,12,0.002494,1603.592,4194304,2011-10-19-Sample.E01
"$TxfLogContainer00000000000000000001","942c70d81dddd07267f211bc1ae3e395ee6f8dd0fa9d200ab414915076d5245c",AVX-512,12,0.002262,1767.956,4194304,2011-10-19-Sample.E01
"$MFT","997d6179f95750ce58a022aa60d39003385841c0bd67f55b45fe1adeb6904d7b",AVX-512,12,0.000773,323.373,262144,2011-10-19-Sample.E01
"$LogFile","ef9708c9b2d151d3bdade63cfb1f01d6e8bd12545f7662cf1835bf2b7d6fc890",AVX-512,12,0.001787,1119.445,2097152,2011-10-19-Sample.E01
"$Secure:$SDS-slack","7ffdf7d4c25c0ade57a4a2a960bcabe472e3f0bfc8c8fb6d878493869b444b66",AVX-512,12,0.000216,15.312,3468,2011-10-19-Sample.E01
"$MFTMirr","146dbfdef21ffe3775bd484df55e4d7902805c66803ef7e3459623d474ffa3c4",AVX-512,12,0.000214,18.279,4096,2011-10-19-Sample.E01
"$UpCase","fcaa14f22f4ba8ebf401c652121a217ac0d85f09c26bbe0301e4060cdc7b5703",AVX-512,12,0.000845,147.947,131072,2011-10-19-Sample.E01
f0005384.txt,"1a4448924fac5951e2b497e452a2b1b83cb6fe332941eb91ba2cc7bc5fb222e9",AVX-512,12,0.000206,0.652,141,2011-10-19-Sample.E01
f0244840.reg,"7158c8cb53494277240a3bedfba200821fbb36d878798f928a2072ccaa7a8565",AVX-512,12,0.006228,3005.049,19623936,2011-10-19-Sample.E01
f0198984.dat,"e29e082d355a964f8de9a3a088d6b98895732f5b215f8b796d6f270bbebf88e7",AVX-512,12,0.000965,404.793,409600,2011-10-19-Sample.E01
f0198472.dat,"f39ded23f10a870e8919ac1ff4747b675c4aeae4b8dbe4291011a53ac1aba369",AVX-512,12,0.000818,305.623,262144,2011-10-19-Sample.E01
f0199784.reg,"c84c5932b9e0659fa9ac4b1d03ca079ea697eb3b75a523ff7364b3b13992f433",AVX-512,12,0.007364,2987.669,23068672,2011-10-19-Sample.E01
f0197960.dat,"792d56f955125a8ba303e4a022fb98456229d9b89d84608ddcc453e21ab28bab",AVX-512,12,0.000863,289.821,262144,2011-10-19-Sample.E01
f0197888.dat,"434a942f29d5becffba1b4385c308c06b0dabcf3a50f51603ef5247b05576867",AVX-512,12,0.00079,39.582,32768,2011-10-19-Sample.E01
f0197856.dat,"373788cc8c3ec55e70cf52860d1ca8b1e81f6ac1ff401573d1f84cc2f0f87420",AVX-512,12,0.000219,71.249,16384,2011-10-19-Sample.E01
f0197088.dat,"43417bb272e02f8bd3c7dd38b2a841e796dbffa1ca4701eb16c28e238f8661b0",AVX-512,12,0.00092,407.564,393216,2011-10-19-Sample.E01
f0197056.txt,"174a6f9d92dbb986a91495cf48fc02fb078e3b3ccf7198da47df0f48998dc69e",AVX-512,12,0.000251,2.936,773,2011-10-19-Sample.E01
f0196952.dat,"8a55e613060c6d68b217b8e44ea83bf8f8c182ff0a9848f50a402e7517e31a53",AVX-512,12,0.00069,67.925,49152,2011-10-19-Sample.E01
f0196936.txt,"dcae5c42dd356b97f6b9e469c309edf2ddd4a28bbfab5a433567e7068ce6cd7b",AVX-512,12,0.000293,3.272,1004,2011-10-19-Sample.E01
f0196928.txt,"e1f9afa412254a9f6d7c66d917f7b30d451ed9188618d9356ad4dba4e06e311d",AVX-512,12,0.000248,3.206,833,2011-10-19-Sample.E01
f0196920.txt,"a9b42cce62c63d4ac23d5984f0b20460fd6b8ed4246c9555ad7ce5adf6c4d1e1",AVX-512,12,0.000252,3.036,803,2011-10-19-Sample.E01
f0196840.dat,"661bccba0e71b7bd8253f49689a62d70240e74e1a3b991824a87c83bc3f1903e",AVX-512,12,0.000789,39.622,32768,2011-10-19-Sample.E01
f0196776.dat,"c7354dc238d614686274faf3709ebf98c455280bdcfdf5884092e3d2f40e4c0c",AVX-512,12,0.000853,36.627,32768,2011-10-19-Sample.E01
f0196712.dat,"e2048ce8a19d137ac90c6e1916e4275e9106cea41e8492380077540eb38074d8",AVX-512,12,0.000698,44.777,32768,2011-10-19-Sample.E01
f0196672.txt,"478df797d6334c1e6122b53f887dc24e16209f34bd6c549e4d34398d2d73bf62",AVX-512,12,0.000278,63.315,18483,2011-10-19-Sample.E01
f0196256.h,"c9e0bc802e0a816c4bb53624bb5af818b7130baae9257c83c3dc3b5347502058",AVX-512,12,0.000244,69.88,17901,2011-10-19-Sample.E01
f0196248.txt,"dccb8b1a68ca502c631b8b46ab69dbee31ca91587d8da467a9f7348af22d09be",AVX-512,12,0.000326,6.1,2087,2011-10-19-Sample.E01
f0196240.txt,"6386292ee93a6347bdde3ee61c6091ddda6d6f6b5a47ad50acda6b98c1e9ceb8",AVX-512,12,0.000249,7.987,2088,2011-10-19-Sample.E01
f0196232.txt,"104b0af86d27f53b708d0a393e63e07e0c4f266fa31abe9b09850b1ba515f2ef",AVX-512,12,0.000213,8.914,1988,2011-10-19-Sample.E01
f0196176.jpg,"555dc99916ccdfeb0007031792982af0d7404ef402fa7918383314c537e178e3",AVX-512,12,0.000345,68.256,24685,2011-10-19-Sample.E01
f0196128.jpg,"8ecf7f0edca90cb498ff0e67d80198787c71f7896235110afa7704356b9ffcd5",AVX-512,12,0.000231,98.188,23742,2011-10-19-Sample.E01
f0196080.jpg,"c6f6698ac0bb2e40403f3d4dee1c0b2faf83a48bc7918c550e8b5ff584ad8ed4",AVX-512,12,0.000287,80.291,24163,2011-10-19-Sample.E01
f0196032.jpg,"f044f66f9928e3f98a1bc7218705bbaee121822c8387175b87c6bb64f0259ca0",AVX-512,12,0.000243,92.516,23622,2011-10-19-Sample.E01
f0195984.jpg,"d4a23f34720c4d7ecd86266eeeebe0ff7c9488d3d159226cc6080b5c0eba7d5c",AVX-512,12,0.000246,83.031,21383,2011-10-19-Sample.E01
f0195936.jpg,"fa6f3fb75e162fe05df252f0aeeaa46ac06b65e585659cd4cad9789f60877ae6",AVX-512,12,0.000294,79.447,24517,2011-10-19-Sample.E01
f0195888.jpg,"864414b17a25a335d456cb0daade18983e79d1d0579bfedb4aa4507cc457e36d",AVX-512,12,0.000386,57.969,23457,2011-10-19-Sample.E01
f0195840.jpg,"212222bea8ac1a36d20412c7c4c9849ace0962e709ca241544fc6d377eb53ef5",AVX-512,12,0.00024,91.388,22989,2011-10-19-Sample.E01
f0195792.jpg,"811859bb1e43509712657bad52fcd7d2c3c582e79df9807968794c9127df6382",AVX-512,12,0.000248,85.923,22308,2011-10-19-Sample.E01
f0195744.jpg,"edac0f2c5709675ae72b2124f29ba47caa84a76827313e009ff2e4715aea0ec6",AVX-512,12,0.000295,67.283,20848,2011-10-19-Sample.E01
f0195696.jpg,"36424295b46241fdcf754b58d3414a597605f1f0fa233fa0f8a0891f80b393d3",AVX-512,12,0.00027,76.835,21721,2011-10-19-Sample.E01
f0195656.jpg,"45ca1e52c7b71f9602da57ddba3fedc6d96787f33baef1e10e8735fa3816d3b0",AVX-512,12,0.000234,81.081,19903,2011-10-19-Sample.E01
f0195608.jpg,"dafb4d6b00d63d2c5ca677e648bf8af7c9c84ea346db6d220f002b80358847a9",AVX-512,12,0.000289,71.042,21506,2011-10-19-Sample.E01
f0195568.jpg,"940b1aee257d82b5a5944a08301e8ba671c6b6c2dfe94e2cd30ceb2c91b47eae",AVX-512,12,0.000263,69.457,19169,2011-10-19-Sample.E01
f0195520.jpg,"d5a045f9dff1676c50fc8e8857f166032c05f0dc586e2624e0a07221e0f1489c",AVX-512,12,0.000449,50.016,23543,2011-10-19-Sample.E01
f0195480.jpg,"b59df9ac9f6996d3acf75ccf02b314a5a2bcac43369f23f6e53247ea7711590f",AVX-512,12,0.000332,57.866,20157,2011-10-19-Sample.E01
